Env             Server                              Port   Service              Status    
DT_AZ1          sdpappb1009.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1009.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1009.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1009.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1009.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1010.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1010.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1010.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1010.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1010.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1010.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1010.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          dember1-z1-b57.infra.dev.pndrs.de   80     HTTP                 FAILED    
DT_AZ1          dember1-z1-b57.infra.dev.pndrs.de   443    HTTPS                FAILED    
DT_AZ1          dember1-z1-b57.infra.dev.pndrs.de   389    LDAP                 FAILED    
DT_AZ1          dember1-z1-b57.infra.dev.pndrs.de   636    LDAPS                FAILED    
DT_AZ1          dember1-z1-b57.infra.dev.pndrs.de   88     Kerberos             FAILED    
DT_AZ1          dember1-z1-b57.infra.dev.pndrs.de   464    Kerberos kpasswd     FAILED    
DT_AZ1          dember1-z1-b57.infra.dev.pndrs.de   53     DNS                  FAILED    
DT_AZ1          sdpappb1011.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1011.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1011.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1011.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1011.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1011.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1011.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1012.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1012.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1012.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1012.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1012.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1012.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1012.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          dember1-z1-b52.infra.dev.pndrs.de   80     HTTP                 FAILED    
DT_AZ1          dember1-z1-b52.infra.dev.pndrs.de   443    HTTPS                FAILED    
DT_AZ1          dember1-z1-b52.infra.dev.pndrs.de   389    LDAP                 FAILED    
DT_AZ1          dember1-z1-b52.infra.dev.pndrs.de   636    LDAPS                FAILED    
DT_AZ1          dember1-z1-b52.infra.dev.pndrs.de   88     Kerberos             FAILED    
DT_AZ1          dember1-z1-b52.infra.dev.pndrs.de   464    Kerberos kpasswd     FAILED    
DT_AZ1          dember1-z1-b52.infra.dev.pndrs.de   53     DNS                  FAILED    
DT_AZ1          sdpappb1013.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1013.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1013.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1013.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1013.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1013.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1013.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1016.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1016.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1016.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1016.infra.dev.pndrs.de      636    LDAPS                FAILED    
